Sheet,Jurisdiction,Jurisdiction Setting,Jurisdiction Role,HSTM Setting,HSTM Role,Regulation Type,Oversight / Professional Agency,Requirement Level,Authority Level,Citation,Training Topic / Competency Item,Relationship,Purpose,Hours Required,Source URL,Notes / Research Flags
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Skill: Maintains ongoing familiarity with evolving federal regulations and translates federal RoP, Appendix PP interpretive guidance, and applicable state nursing facility licensure rules into facility policy, daily clinical practice, and survey-ready documentation",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Ability: Reconciles conflicts among the federal RoP, the state NPA, state nursing facility licensure rules, and facility policy, and resolves them through documented clinical judgment and escalation to the DON, administrator, medical director, or regulator as appropriate",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Domain 2: Resident Rights, Autonomy, and Person-Centered Care",Parent,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Knowledge: Articulates the federally-enumerated resident rights at 42 CFR 483.10, including self-determination, dignity, privacy, the right to be informed, the right to refuse treatment, grievance processes, freedom from abuse and neglect, freedom from unnecessary restraints, and protection from involuntary transfer or discharge",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Knowledge: Distinguishes physical restraints (devices limiting freedom of movement) from chemical restraints (psychotropic medications administered for behavioral management rather than clinical indication) under 42 CFR 483.10(e) and 42 CFR 483.12 (F-Tags 604 and 605), and applies the least-restrictive standard along with documented clinical justification requirements before initiating either type",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Knowledge: Describes the federal requirements for person-centered care planning at 42 CFR 483.21, including the baseline care plan within 48 hours of admission, the comprehensive care plan within 7 days after the comprehensive assessment, and meaningful resident and representative participation in plan development",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Skill: Operationalizes resident preferences and goals of care into RN-led assessment, medication, treatment, and ADL care delivery without compromising clinical safety, federal compliance, or the standards of professional practice",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Skill: Identifies, documents, and reports suspected abuse, neglect, exploitation, and misappropriation through federally-mandated channels, including 42 CFR 483.12 reporting timelines and the Elder Justice Act reporting obligations for covered individuals in federally-funded long-term care",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Ability: Balances safety obligations with resident autonomy and refusal of care, recognizing when resident choice creates clinical risk and convening an interdisciplinary, representative-inclusive care conference rather than imposing a unilateral clinical override",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Domain 3: RN Scope, Nursing Process, and Clinical Leadership in the SNF",Parent,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Knowledge: Articulates the full RN nursing process - assessment, nursing diagnosis, planning, implementation, and evaluation - as it applies in the SNF, and the boundary between RN-led nursing practice and the medical-model authority of the attending physician, medical director, and consulting providers",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Knowledge: Identifies the federally-defined RN-only responsibilities in SNFs, including coordination of the comprehensive resident assessment under 42 CFR 483.20(h), the DON requirement at 42 CFR 483.35(b), the IP qualification options at 42 CFR 483.80(b), and the RN-led elements of the QAPI program at 42 CFR 483.75",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Skill: Performs RN-led activities within scope , such as comprehensive and focused assessment, care plan authorship, complex skilled nursing tasks, medication administration and oversight, RN supervision of LVNs and CNAs, and clinical decision-making on admission, change in condition, and transfer, in accordance with the NPA, federal RoP, and facility policy",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Skill: Provides clinical leadership across the licensed and unlicensed team, modeling person-centered care, evidence-based decision-making, and survey-ready documentation discipline for LVNs, CNAs, and ancillary staff",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Ability: Recognizes when admission, retention, or acuity exceeds the facility's clinical capability or staffing capacity, raises the concern through facility channels (DON, administrator, medical director), and supports the appropriate level-of-care decision in accordance with 42 CFR 483.15 transfer and discharge protections",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Domain 4: MDS/RAI Coordination, CAAs, and Care Plan Integration",Parent,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Knowledge: Describes the federally-required Resident Assessment Instrument (RAI) process under 42 CFR 483.20 - including the Minimum Data Set (MDS 3.0), the Care Area Assessments (CAAs), the CAA Summary, and the integrated comprehensive care plan - and the specific assessment types (Admission, Quarterly, Annual, Significant Change in Status, Significant Correction) and their CMS-prescribed timeframes",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Knowledge: Identifies the role of the MDS in driving SNF reimbursement through the Patient Driven Payment Model (PDPM) for Medicare Part A stays, in populating the CMS quality measures used by Care Compare and SNF Value Based Program, and in informing facility-level Five-Star Quality Ratings",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Skill: Conducts or coordinates the comprehensive assessment as the RN signatory under 42 CFR 483.20(h), engages the appropriate interdisciplinary team contributors, ensures direct observation and communication with the resident and direct-care staff on all shifts, and validates the accuracy of MDS coding before transmission",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Skill: Triggers and addresses CAAs based on MDS responses, documents the CAA decision-making rationale, and translates assessment findings into a measurable, individualized, person-centered comprehensive care plan that the interdisciplinary team can operationalize",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Ability: Recognizes the civil and clinical liability associated with material misstatement on resident assessments under 42 CFR 483.20(j) and maintains MDS accuracy as a regulatory, reimbursement, and clinical integrity priority",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),Domain 5: Delegation and Supervision of Licensed and Unlicensed Staff,Parent,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Knowledge: Applies the NCSBN Five Rights of Delegation (right task, right circumstance, right person, right direction/communication, right supervision/evaluation) as the framework for all RN delegation decisions in the SNF setting",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Knowledge: Identifies the federal CNA training and competency framework under 42 CFR 483.151-156 (NATCEP), the 75-hour minimum training requirement, the state nurse aide registry, and the RN's role in CNA in-service training, performance review, and competency validation",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Skill: Validates and documents the competency of LVNs and CNAs both prior to and on an ongoing basis following initial delegation, communicates task-specific parameters and reporting expectations clearly, and conducts ongoing supervision and evaluation of delegated care - recognizing that CNAs and Unlicensed Assistive Personnel (UAP) are limited to observation, reporting, and completion of specifically delegated tasks rather than independent clinical assessment or judgment",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Skill: Investigates delegation failures, including medication errors, missed assessments, falls, and incident reports, identifies whether the failure is task-mismatch, training, supervision, or system in origin, and implements corrective action that satisfies both clinical and survey defensibility expectations",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Ability: Recognizes when retaining a task (rather than delegating it) is the clinically and legally defensible choice given resident instability, staff capability, or facility policy, and re-assumes care without disruption to the resident or the unit",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Domain 6: Medication Administration, Management, and Psychotropic Stewardship",Parent,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Knowledge: Describes the federally-required medication management framework at 42 CFR 483.45, including pharmacy services, monthly medication regimen review by a licensed pharmacist, unnecessary drug protections, psychotropic limits, and Gradual Dose Reduction (GDR) expectations for residents on antipsychotic, antidepressant, anti-anxiety, and hypnotic medications",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Knowledge: Identifies high-risk medication categories common in the SNF population - anticoagulants, antipsychotics, opioids, insulin, antihypertensives, anticholinergics, benzodiazepines, and antibiotics - and the specific monitoring, documentation, and side-effect recognition required for each, including federal limits on PRN psychotropic duration",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Skill: Performs medication administration and reconciliation in accordance with federal RoP, facility policy, and state NPA, including processing new physician orders, managing narcotic inventory and diversion monitoring, and ensuring medication administration record (MAR) completeness and accuracy",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Skill: Operationalizes the federally-required antipsychotic reduction and psychotropic stewardship expectations, including indication review, informed consent verification, monitoring for efficacy and adverse effects, GDR attempts, and prescriber communication, and ensures documentation aligns with F-Tag 758 (psychotropic medications) and F-Tag 757 (unnecessary drugs) survey expectations",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Ability: Identifies adverse drug events, polypharmacy risks, off-label antipsychotic use, and medication-related contributors to falls or functional decline, and escalates through the appropriate channel (pharmacist consultant, attending provider, medical director, DON)",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),Domain 7: Dementia Care and Behavioral Symptom Management,Parent,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Knowledge: Describes the stages and behavioral manifestations of Alzheimer's disease and related dementias (ADRD), and differentiates baseline dementia behavior from acute changes that may signal delirium, infection, pain, medication adverse effect, or other medical decompensation",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),Knowledge: Identifies evidence-based triggers and contributors to BPSD and the federal expectation (reinforced in CMS Hand-in-Hand training and Appendix PP F-Tag guidance) that non-pharmacologic interventions are the first-line response,Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Skill: Designs and oversees individualized non-pharmacologic behavioral care plans, validates staff use of person-centered communication and de-escalation techniques, and integrates dementia-specific environmental modifications and routines into the comprehensive care plan",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Skill: Monitors residents on antipsychotic and psychotropic medications for appropriate indication, informed consent, efficacy, and adverse effects, leads prescriber communication for GDR or discontinuation when clinically appropriate, and ensures documentation supports F-Tag survey defensibility",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Ability: Recognizes when behavioral escalation exceeds the unit's care capacity or staff capability, and initiates the appropriate clinical response - up to and including provider consultation, behavioral health referral, psychiatric admission, or transfer to a higher level of care - in accordance with the resident's plan and rights",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Domain 8: Change in Condition Recognition, Triage, and Hospital Transfer",Parent,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Knowledge: Identifies signs of acute change in condition that require urgent RN evaluation in the SNF, such as altered mental status, respiratory distress, suspected cardiovascular or neurologic event, sepsis indicators, uncontrolled pain, falls with injury, acute functional decline, and post-acute Medicare-stay clinical deterioration",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Knowledge: Describes structured assessment and communication frameworks used in the SNF setting, including SBAR, the INTERACT toolkit (Stop and Watch, Change in Condition, Care Paths, Acute Care Transfer documentation), and the federally-required transfer and discharge documentation expectations under 42 CFR 483.15",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Skill: Performs RN-led focused assessment, synthesizes LVN and CNA observations, communicates a complete clinical picture to the attending physician, medical director, or on-call provider, and coordinates handoff to emergency services or the receiving facility when transfer is indicated",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Skill: Documents change-in-condition events, assessments, interventions, communications, and disposition decisions accurately and in real time to support continuity of care, regulatory defensibility under F-Tag 580 (notification of changes) and F-Tag 622 (transfer and discharge requirements), and post-event review",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Ability: Discriminates between conditions manageable in the SNF and those requiring hospital transfer, advocates for the resident's goals of care during transfer decisions, and supports appropriate hospitalization avoidance through INTERACT or comparable evidence-based pathways where consistent with resident wishes and clinical safety",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Domain 9: Skin Integrity, Falls, Restraints, and Population Surveillance",Parent,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Knowledge: Identifies the federally-flagged quality and safety domains tied to RN-led surveillance in the SNF, including pressure ulcer/injury prevention (F-Tag 686), fall prevention, the freedom from physical and chemical restraints requirement at 42 CFR 483.10(e) and 42 CFR 483.12 (F-Tag 604/605), accidents (F-Tag 689), and nutrition and hydration (F-Tag 692 and 693)",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Knowledge: Describes evidence-based risk assessment frameworks commonly used in the SNF (Braden Scale, Morse Fall Scale, and comparable tools), the RN's role in interpreting and acting on the findings, and the federally-required care plan integration of risk-based interventions",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Skill: Leads RN-level fall, skin, and incident review, including post-fall and post-injury investigation, root-cause analysis, care plan revision, and event reporting, and ensures alignment with QAPI performance improvement priorities",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Skill: Implements and oversees pressure injury prevention, fall prevention, and restraint-reduction interventions consistent with the resident's care plan and federal restraint-free expectations, including least-restrictive approaches and documented clinical justification when restraints are clinically indicated",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Ability: Integrates surveillance findings across the resident population to identify trends, such as clustered falls, pressure injury patterns, near-miss medication events, or rising restraint use, and translates the findings into facility-level interventions through the QAPI process and the facility assessment under 42 CFR 483.71",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),Domain 10: Infection Prevention and Control,Parent,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Knowledge: Describes the federally-required Infection Prevention and Control Program (IPCP) at 42 CFR 483.80 (F-Tag 880), including surveillance, reporting, transmission-based precautions, antibiotic stewardship, immunizations, and the vaccination policies required of SNFs",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Knowledge: Identifies the federal Infection Preventionist (IP) requirements at 42 CFR 483.80(b) (F-Tag 882) - including the qualifying professional backgrounds (nursing, medical technology, microbiology, epidemiology), the specialized training requirement, the part-time presence expectation, and required QAPI committee participation",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Skill: Operationalizes the IPCP at the RN or IP level, including surveillance for healthcare-associated infections and outbreaks, coordination with the state and local public health authority, line-list and case-definition application, transmission-based precaution implementation, and reporting through CDC's National Healthcare Safety Network Long-Term Care Facility component",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
WR RN_SNF,US,skilled nursing facility,Registered Nurse (RN),Skilled Nursing Facility,"Clinical, Medication Dispensing",,,Other Training Reference,Competency,Job Study — Registered Nurse (RN) × Skilled Nursing Facility (FINAL),"Skill: Leads or supports antibiotic stewardship in the SNF setting, including indication review, culture-driven prescribing, narrowing of empiric therapy, monitoring for Clostridioides difficile and multidrug-resistant organism emergence, and coordination with the pharmacist and prescribing providers",Child,Workforce Readiness,,,Source: JobStudy_RN_SNF_FINAL.docx | Date of Review: May 2026
